regimen_id,disease_key,disease_name,ICD10,complaint_key,role,tier,default_row,product_id,drug_name,composition,BDS,sig,duration,dispense,caution,side_effect,clinical_readiness,fast_mode_allowed,evidence_status,source_status,blocked_reason,missing_requirements,next_action,old_runtime_status,source_runtime_path
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0001,RX NOW,RX1,True,BDS004213,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[0].r[0].m[0]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0001,RX NOW,RX2,True,BDS002805,Nasonex 60 doses [Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g)],Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),BDS002805,2 sprays/nostril OD,7–14 days,1 bottle (60 doses),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[0].r[0].m[1]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0001,SWAP,SWAP1,True,BDS003747,Telfast 180 mg [Fexofenadine HCl 180 mg.],Fexofenadine HCl 180 mg.,BDS003747,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[0].r[0].m[2]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0001,SWAP,SWAP2,True,BDS045630,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[0].r[0].m[3]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0002,RX NOW,RX1,True,BDS004213,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[1].r[0].m[0]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0002,RX NOW,RX2,True,BDS002805,Nasonex 60 doses [Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g)],Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),BDS002805,2 sprays/nostril OD,7–14 days,1 bottle (60 doses),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[1].r[0].m[1]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0002,SWAP,SWAP1,True,BDS003747,Telfast 180 mg [Fexofenadine HCl 180 mg.],Fexofenadine HCl 180 mg.,BDS003747,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[1].r[0].m[2]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0002,SWAP,SWAP2,True,BDS045630,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[1].r[0].m[3]
FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,,CI0003,RX NOW,RX1,True,BDS003762,Tylenol 500 mg strip 10s [Paracetamol 500 mg.],Paracetamol 500 mg.,BDS003762,1–2 tabs PO q4–6h PRN fever/pain,3 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[2].r[0].m[0]
FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,,CI0003,RX NOW,RX2,True,BDS045630,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[2].r[0].m[1]
FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,,CI0003,RX NOW,RX3,True,BDS002655,Mucolid [Ambroxol HCl 30 mg.],Ambroxol HCl 30 mg.,BDS002655,1 tab PO TID–QID,3 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[2].r[0].m[2]
FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,,CI0003,SWAP,SWAP1,True,BDS002901,Nac Long [Acetylcysteine 600 mg.],Acetylcysteine 600 mg.,BDS002901,1 eff tab PO OD,5 days,1 tube (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[2].r[0].m[3]
FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,,CI0004,RX NOW,RX1,True,BDS003762,Tylenol 500 mg strip 10s [Paracetamol 500 mg.],Paracetamol 500 mg.,BDS003762,1–2 tabs PO q4–6h PRN fever/pain,3 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[3].r[0].m[0]
FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,,CI0004,RX NOW,RX2,True,BDS045630,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[3].r[0].m[1]
FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,,CI0004,RX NOW,RX3,True,BDS002655,Mucolid [Ambroxol HCl 30 mg.],Ambroxol HCl 30 mg.,BDS002655,1 tab PO TID–QID,3 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[3].r[0].m[2]
FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,,CI0004,SWAP,SWAP1,True,BDS002901,Nac Long [Acetylcysteine 600 mg.],Acetylcysteine 600 mg.,BDS002901,1 eff tab PO OD,5 days,1 tube (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[3].r[0].m[3]
FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,,CI0005,RX NOW,RX1,True,BDS003762,Tylenol 500 mg strip 10s [Paracetamol 500 mg.],Paracetamol 500 mg.,BDS003762,1–2 tabs PO q4–6h PRN fever/pain,3 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[4].r[0].m[0]
FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,,CI0005,RX NOW,RX2,True,BDS004213,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[4].r[0].m[1]
FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,,CI0005,RX NOW,RX3,True,BDS008282,Cera ORS รสส้ม [Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.],Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,BDS008282,1 sachet in 150 mL water; sip frequently / after each loose stool,1–2 days,1 box (5 sachets),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[4].r[0].m[2]
FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,,CI0005,RX NOW,RX4,True,BDS001248,Bioflor [Lyophilized Saccharomyces boulardii 250 mg.],Lyophilized Saccharomyces boulardii 250 mg.,BDS001248,1 sachet PO BID,3 days,6 sachets,,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[4].r[0].m[3]
FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,,CI0005,SWAP,SWAP1,True,BDS042304,Dehecta [Dioctahedral Smectite 3 g./20 ml.],Dioctahedral Smectite 3 g./20 ml.,BDS042304,1 sachet PO TID–QID,2 days,6 sachets,,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[4].r[0].m[4]
FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,,CI0005,SWAP,SWAP2,True,BDS043842,Hidrasec 100 mg. [Racecadotril 100 mg.],Racecadotril 100 mg.,BDS043842,1 cap PO q8h,2–3 days,1 box (10 caps),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[4].r[0].m[5]
FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,,CI0005,SWAP,SWAP3,True,BDS045630,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[4].r[0].m[6]
FRM0004,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,,CI0006,RX NOW,RX1,True,BDS008282,Cera ORS รสส้ม [Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.],Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,BDS008282,1 sachet in 150 mL water; sip frequently / after each loose stool,1–2 days,1 box (5 sachets),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[5].r[0].m[0]
FRM0004,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,,CI0006,RX NOW,RX2,True,BDS001248,Bioflor [Lyophilized Saccharomyces boulardii 250 mg.],Lyophilized Saccharomyces boulardii 250 mg.,BDS001248,1 sachet PO BID,3 days,6 sachets,,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[5].r[0].m[1]
FRM0004,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,,CI0006,SWAP,SWAP1,True,BDS042304,Dehecta [Dioctahedral Smectite 3 g./20 ml.],Dioctahedral Smectite 3 g./20 ml.,BDS042304,1 sachet PO TID–QID,2 days,6 sachets,,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[5].r[0].m[2]
FRM0004,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,,CI0006,SWAP,SWAP2,True,BDS043842,Hidrasec 100 mg. [Racecadotril 100 mg.],Racecadotril 100 mg.,BDS043842,1 cap PO q8h,2–3 days,1 box (10 caps),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[5].r[0].m[3]
FRM0005,uri_rash_adult,Acute viral URI with viral/allergic rash,,CI0007,RX NOW,RX1,True,BDS003762,Tylenol 500 mg strip 10s [Paracetamol 500 mg.],Paracetamol 500 mg.,BDS003762,1–2 tabs PO q4–6h PRN fever/pain,3 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[6].r[0].m[0]
FRM0005,uri_rash_adult,Acute viral URI with viral/allergic rash,,CI0007,RX NOW,RX2,True,BDS004213,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[6].r[0].m[1]
FRM0005,uri_rash_adult,Acute viral URI with viral/allergic rash,,CI0007,RX NOW,RX3,True,BDS006745,Antergan Cream [Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g],Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g,BDS006745,apply thinly BID–TID to itchy rash,5 days,1 tube (10 g),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[6].r[0].m[2]
FRM0005,uri_rash_adult,Acute viral URI with viral/allergic rash,,CI0007,SWAP,SWAP1,True,BDS003747,Telfast 180 mg [Fexofenadine HCl 180 mg.],Fexofenadine HCl 180 mg.,BDS003747,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[6].r[0].m[3]
FRM0005,uri_rash_adult,Acute viral URI with viral/allergic rash,,CI0007,SWAP,SWAP2,True,BDS045630,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[6].r[0].m[4]
FRM0006,sore_throat_adult,Acute sore throat / pharyngeal irritation,,CI0008,RX NOW,RX1,True,BDS003762,Tylenol 500 mg strip 10s [Paracetamol 500 mg.],Paracetamol 500 mg.,BDS003762,1–2 tabs PO q4–6h PRN fever/pain,3 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[7].r[0].m[0]
FRM0006,sore_throat_adult,Acute sore throat / pharyngeal irritation,,CI0008,RX NOW,RX2,True,BDS002411,Kamillosan-M Spray [ดอกหญ้าหอม+เพเพอร์มิ้นต์+เซจ ออยล์+เทียนสัตบุษย์+ไพน์ นีดเดิล ออยล์+เบอร์กามอต ออยล์+ยูคาลิปทอล],ดอกหญ้าหอม+เพเพอร์มิ้นต์+เซจ ออยล์+เทียนสัตบุษย์+ไพน์ นีดเดิล ออยล์+เบอร์กามอต ออยล์+ยูคาลิปทอล,BDS002411,2 sprays to mouth/throat TID,5 days,1 bottle (15 mL),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[7].r[0].m[1]
FRM0006,sore_throat_adult,Acute sore throat / pharyngeal irritation,,CI0008,SWAP,SWAP1,True,BDS006462,Difflam Forte Spray [Benzydamine Hydrochloride 3 mg.+Ethanol+Saccharin Sodium+Methyl Hydroxybenzoate+Glycerol+PEG-40 Hydrogenated castor oil/ml.],Benzydamine Hydrochloride 3 mg.+Ethanol+Saccharin Sodium+Methyl Hydroxybenzoate+Glycerol+PEG-40 Hydrogenated castor oil/ml.,BDS006462,2–4 sprays to throat PRN,5 days,1 bottle (15 mL),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[7].r[0].m[2]
FRM0007,dry_eye_adult,Symptomatic dry eye syndrome,,CI0009,RX NOW,RX1,True,BDS004035,Vislube [Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.)],Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.),BDS004035,1–2 drops OU / affected eye PRN,7 days,1 box (20 tubes),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[8].r[0].m[0]
FRM0007,dry_eye_adult,Symptomatic dry eye syndrome,,CI0009,SWAP,SWAP1,True,BDS001552,Cellufresh [Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide],Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,BDS001552,1–2 drops OU / affected eye PRN,7 days,1 box (30 tubes),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[8].r[0].m[1]
FRM0008,acute_watery_diarrhea_peds,Acute watery diarrhea (pediatric starter row),,CI0010,RX NOW,RX1,True,BDS008282,Cera ORS รสส้ม [Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.],Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,BDS008282,1 sachet in 150 mL water; small frequent sips,1–2 days,1 box (5 sachets),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[9].r[0].m[0]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0011,RX NOW,RX1,True,BDS004213,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[10].r[0].m[0]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0011,RX NOW,RX2,True,BDS002805,Nasonex 60 doses [Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g)],Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),BDS002805,2 sprays/nostril OD,7–14 days,1 bottle (60 doses),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[10].r[0].m[1]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0011,SWAP,SWAP1,True,BDS003747,Telfast 180 mg [Fexofenadine HCl 180 mg.],Fexofenadine HCl 180 mg.,BDS003747,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[10].r[0].m[2]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0011,SWAP,SWAP2,True,BDS045630,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[10].r[0].m[3]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0012,RX NOW,RX1,True,BDS004213,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[11].r[0].m[0]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0012,RX NOW,RX2,True,BDS002805,Nasonex 60 doses [Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g)],Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),BDS002805,2 sprays/nostril OD,7–14 days,1 bottle (60 doses),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[11].r[0].m[1]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0012,SWAP,SWAP1,True,BDS003747,Telfast 180 mg [Fexofenadine HCl 180 mg.],Fexofenadine HCl 180 mg.,BDS003747,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[11].r[0].m[2]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0012,SWAP,SWAP2,True,BDS045630,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[11].r[0].m[3]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0013,RX NOW,RX1,True,BDS004213,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[12].r[0].m[0]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0013,RX NOW,RX2,True,BDS002805,Nasonex 60 doses [Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g)],Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),BDS002805,2 sprays/nostril OD,7–14 days,1 bottle (60 doses),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[12].r[0].m[1]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0013,SWAP,SWAP1,True,BDS003747,Telfast 180 mg [Fexofenadine HCl 180 mg.],Fexofenadine HCl 180 mg.,BDS003747,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[12].r[0].m[2]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0013,SWAP,SWAP2,True,BDS045630,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[12].r[0].m[3]
