antibiotic_rule_id,disease_key,generic_name,product_links,bacterial_criteria,no_antibiotic_criteria,first_line_flag,alternative_flag,allergy_alternative,adult_dose_rule_id,peds_dose_rule_id,duration,red_flags,referral_criteria,source_ids,reviewer_status,reviewer_note
ABX_NO_ROUTINE_VIRAL_URI,viral_uri,,,,No routine antibiotic for viral URI unless a verified bacterial complication rule is documented.,false,false,,,,,,,,pending_source,Framework row only; add verified local guideline source before using as authority.
ABX_NO_ROUTINE_ACUTE_BRONCHITIS,acute_bronchitis,,,,No routine antibiotic unless a verified criteria-dependent bacterial rule is documented.,false,false,,,,,,,,pending_source,Framework row only; add verified local guideline source before using as authority.
ABX_NO_ROUTINE_SIMPLE_DIARRHEA,simple_diarrhea,,,,No routine antibiotic for simple non-bloody diarrhea.,false,false,,,,,,,,pending_source,Framework row only; add verified local guideline source before using as authority.
ABX_NO_ROUTINE_ALLERGIC_RHINITIS,allergic_rhinitis,,,,No antibiotic for allergic rhinitis.,false,false,,,,,,,,pending_source,Framework row only; add verified local guideline source before using as authority.
ABX_NO_ROUTINE_DRY_EYE,dry_eye,,,,No antibiotic for dry eye.,false,false,,,,,,,,pending_source,Framework row only; add verified local guideline source before using as authority.
ABX_NO_ROUTINE_ALLERGIC_CONJUNCTIVITIS,allergic_conjunctivitis,,,,No antibiotic for allergic conjunctivitis.,false,false,,,,,,,,pending_source,Framework row only; add verified local guideline source before using as authority.
ABX_PRODUCT_BDS040078,,amoxicillin,BDS040078,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001103,,amoxicillin + clavulanic acid,BDS001103,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001035,,amoxicillin + clavulanic acid,BDS001035,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS040017,,amoxicillin trihydrate + clavulanic potassium,BDS040017,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001494,,azithromycin,BDS001494,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS006115,,azithromycin,BDS006115,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007066,,roxithromycin,BDS007066,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001545,,amoxicillin + clavulanic acid,BDS001545,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007784,,cephalexin,BDS007784,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001452,,clarithromycin,BDS001452,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS008652,,dicloxacillin,BDS008652,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS008702,,dicloxacillin,BDS008702,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001943,,azithromycin,BDS001943,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS002201,,amoxicillin,BDS002201,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS002447,,clarithromycin,BDS002447,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS002692,,cefditoren,BDS002692,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS003078,,cefdinir,BDS003078,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS008121,,erythromycin stearate,BDS008121,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS003423,,roxithromycin,BDS003423,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007976,,roxithromycin,BDS007976,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS003428,,roxithromycin,BDS003428,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007007,,amoxicillin,BDS007007,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS049776,,azithromycin,BDS049776,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS003912,,clindamycin,BDS003912,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007723,,doxycycline hyclate,BDS007723,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS044901,,metronidazole,BDS044901,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007193,,metronidazole,BDS007193,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001046,,amoxicillin + clavulanic acid,BDS001046,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001047,,amoxicillin + clavulanic acid,BDS001047,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001056,,amoxicillin + clavulanic acid,BDS001056,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001054,,amoxicillin + clavulanic acid,BDS001054,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001084,,azithromycin,BDS001084,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001441,,cefixime,BDS001441,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS002206,,cephalexin,BDS002206,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS002693,,cefditoren,BDS002693,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007586,,amoxicillin,BDS007586,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007589,,erythromycin,BDS007589,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS046209,,azithromycin,BDS046209,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS003549,,amoxicillin,BDS003549,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS003550,,amoxicillin,BDS003550,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007682,,cloxacillin,BDS007682,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS004225,,azithromycin,BDS004225,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS008001,,trimethoprim + sulfamethoxazole,BDS008001,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001072,,moxifloxacin hydrochloride,BDS001072,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001496,,ciprofloxacin,BDS001496,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS041409,,ciprofloxacin,BDS041409,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS008114,,ciprofloxacin,BDS008114,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001548,,levofloxacin,BDS001548,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS008681,,levofloxacin,BDS008681,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007591,,norfloxacin,BDS007591,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007751,,norfloxacin,BDS007751,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS009086,,norfloxacin,BDS009086,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007971,,ofloxacin,BDS007971,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007238,,ciprofloxacin,BDS007238,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS047662,,cefixime,BDS047662,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007311,,norfloxacin,BDS007311,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS040003,,tinidazole,BDS040003,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007954,,tinidazole,BDS007954,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001491,,clotrimazole + betamethasone dipropionate w/w,BDS001491,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001417,,clotrimazole + betamethasone dipropionate,BDS001417,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007517,,clotrimazole + betamethasone dipropionate,BDS007517,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007516,,clotrimazole + betamethasone dipropionate,BDS007516,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007736,,clotrimazole + betamethasone valerate,BDS007736,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001956,,clotrimazole + betamethasone valerate,BDS001956,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001932,,clotrimazole + betamethasone valerate,BDS001932,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS002538,,miconazole nitrate + triamcinolone acetonide w/w,BDS002538,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS002650,,clotrimazole + betamethasone valerate w/w,BDS002650,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS002651,,clotrimazole + betamethasone valerate w/w,BDS002651,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS008239,,clotrimazole + betamethasone valerate w/w,BDS008239,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS008221,,miconazole nitrate + triamcinolone acetonide,BDS008221,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001437,,chloramphenicol,BDS001437,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001515,,chloramphenicol,BDS001515,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS041410,,chloramphenicol,BDS041410,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001847,,fusidic acid + preservative,BDS001847,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS003181,,neomycin sulfate + polymyxin b sulfate + gramicidin,BDS003181,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS003721,,oxytetracycline hcl + polymyxin b sulfate 10 + s,BDS003721,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS003861,,tobramycin + preservative,BDS003861,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS002003,,gentamicin,BDS002003,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS047636,,micronized silver sulfadiazine,BDS047636,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007001,,acyclovir,BDS007001,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007719,,acyclovir w/w,BDS007719,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS004046,,acyclovir,BDS004046,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS004020,,acyclovir,BDS004020,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS004216,,acyclovir,BDS004216,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001462,,levofloxacin,BDS001462,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001606,,gentamicin w/v + preservative,BDS001606,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS004018,,moxifloxacin hydrochloride + boric acid + sodium chloride + hydrochloric acid,BDS004018,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001236,,betamethasone valerate + gentamicin sulfate,BDS001236,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007505,,betamethasone valerate + neomycin sulphate,BDS007505,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007506,,betamethasone valerate + neomycin sulphate,BDS007506,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001250,,betamethasone 17 valerate w/w + neomycin sulphate w/w,BDS001250,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001908,,fusidic acid + betamethasone valerate + preservative,BDS001908,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001910,,fusidic acid + hydrocortisone acetate + อื่นๆ,BDS001910,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
