age_max_months,age_min_months,calculation_formula,contraindicated_age,disease_key,dose_basis,dose_max_mg_per_kg,dose_min_mg_per_kg,duration,final_pediatric_status,fixed_dose,formula_template_ready,frequency,generic_name,max_mg_per_day,max_mg_per_dose,pediatric_age_gate_note,pediatric_formula_block_reason,pediatric_formula_ready,pediatric_product_label_verified,pediatric_rule_id,product_concentration,product_concentration_source_ids,product_id,product_match_status,rounding_rule,source_ids,volume_formula,weight_max_kg,weight_min_kg,accredited_source_status,missing_accredited_fields,next_action
,,,,,,,,,source_missing_hide_from_rx,,False,,montelukast sodium,,,,missing pediatric dose formula source and/or parsed concentration,False,False,peds_d803fdaf5229,"{""manual_review"": true, ""matched_text"": ""5.2 mg"", ""parse_status"": ""unit_strength_only"", ""review_reason"": ""not_a_liquid_concentration"", ""unit"": ""mg"", ""value"": 5.2}",,BDS047722,pending_exact_product_label_concentration,,,,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,,,,,,,,,source_missing_hide_from_rx,,False,,azithromycin,,,,missing pediatric dose formula source and/or parsed concentration,False,False,peds_9913f7be60e9,"{""manual_review"": false, ""matched_text"": ""200 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 40.0}",,BDS001084,pending_exact_product_label_concentration,,,,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,,,,,,,,,source_missing_hide_from_rx,,False,,cefixime,,,,missing pediatric dose formula source and/or parsed concentration,False,False,peds_4b6a81ce1db6,"{""manual_review"": false, ""matched_text"": ""100 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 20.0}",,BDS001441,pending_exact_product_label_concentration,,,,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,,,,,,,,,source_missing_hide_from_rx,,False,,cephalexin,,,,missing pediatric dose formula source and/or parsed concentration,False,False,peds_d1ebaf0fab79,"{""manual_review"": false, ""matched_text"": ""125 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 25.0}",,BDS002206,pending_exact_product_label_concentration,,,,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,,,,,,,,,source_missing_hide_from_rx,,False,,amoxicillin,,,,missing pediatric dose formula source and/or parsed concentration,False,False,peds_8db2036e871b,"{""manual_review"": false, ""matched_text"": ""125 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 25.0}",,BDS007586,pending_exact_product_label_concentration,,,,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,,,,,,,,,source_missing_hide_from_rx,,False,,azithromycin,,,,missing pediatric dose formula source and/or parsed concentration,False,False,peds_85d6c5d7d2ed,"{""manual_review"": false, ""matched_text"": ""200 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 40.0}",,BDS046209,pending_exact_product_label_concentration,,,,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,,,,,,,,,source_missing_hide_from_rx,,False,,amoxicillin,,,,missing pediatric dose formula source and/or parsed concentration,False,False,peds_dd8b4f673560,"{""manual_review"": false, ""matched_text"": ""125 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 25.0}",,BDS003549,pending_exact_product_label_concentration,,,,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,,,,,,,,,source_missing_hide_from_rx,,False,,amoxicillin,,,,missing pediatric dose formula source and/or parsed concentration,False,False,peds_0805eccb9a04,"{""manual_review"": false, ""matched_text"": ""250 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 50.0}",,BDS003550,pending_exact_product_label_concentration,,,,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,,,,,,,,,source_missing_hide_from_rx,,False,,cloxacillin,,,,missing pediatric dose formula source and/or parsed concentration,False,False,peds_85a16656f48d,"{""manual_review"": false, ""matched_text"": ""125 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 25.0}",,BDS007682,pending_exact_product_label_concentration,,,,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,0,if age_months < 1: dose_mg = 10 * weight_kg; else: dose_mg = 15 * weight_kg,none stated by selected MSF source; reduce dose in severe acute malnutrition or dengue warning signs,,weight_based_mg_per_kg_per_dose_age_adjusted,15,10,,source_missing_hide_from_rx,,True,3 to 4 times daily,paracetamol,40 mg/kg/day if age_months < 1; 60 mg/kg/day if age_months >= 1,,,formula source available but exact product concentration/formulation label is still missing,False,False,peds_c8cdf0de7f47,"{""manual_review"": false, ""matched_text"": ""120 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 24.0}",,BDS008609,pending_exact_product_label_concentration,display exact calculated mL to 0.1 mL; cap total daily dose by age-specific max_mg_per_day,msf_paracetamol_oral_peds_2024,dose_ml = dose_mg / 24; concentration_mg_per_ml = 24,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,0,if age_months < 1: dose_mg = 10 * weight_kg; else: dose_mg = 15 * weight_kg,none stated by selected MSF source; reduce dose in severe acute malnutrition or dengue warning signs,,weight_based_mg_per_kg_per_dose_age_adjusted,15,10,,source_missing_hide_from_rx,,True,3 to 4 times daily,paracetamol,40 mg/kg/day if age_months < 1; 60 mg/kg/day if age_months >= 1,,,formula source available but exact product concentration/formulation label is still missing,False,False,peds_8a971b1146a3,"{""manual_review"": false, ""matched_text"": ""60 mg./0.6 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 100.0}",,BDS002407,pending_exact_product_label_concentration,display exact calculated mL to 0.1 mL; cap total daily dose by age-specific max_mg_per_day,msf_paracetamol_oral_peds_2024,dose_ml = dose_mg / 100; concentration_mg_per_ml = 100,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,0,if age_months < 1: dose_mg = 10 * weight_kg; else: dose_mg = 15 * weight_kg,none stated by selected MSF source; reduce dose in severe acute malnutrition or dengue warning signs,,weight_based_mg_per_kg_per_dose_age_adjusted,15,10,,source_missing_hide_from_rx,,True,3 to 4 times daily,paracetamol,40 mg/kg/day if age_months < 1; 60 mg/kg/day if age_months >= 1,,,formula source available but exact product concentration/formulation label is still missing,False,False,peds_a040c1916e30,"{""manual_review"": false, ""matched_text"": ""150 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 30.0}",,BDS007583,pending_exact_product_label_concentration,display exact calculated mL to 0.1 mL; cap total daily dose by age-specific max_mg_per_day,msf_paracetamol_oral_peds_2024,dose_ml = dose_mg / 30; concentration_mg_per_ml = 30,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,0,if age_months < 1: dose_mg = 10 * weight_kg; else: dose_mg = 15 * weight_kg,none stated by selected MSF source; reduce dose in severe acute malnutrition or dengue warning signs,,weight_based_mg_per_kg_per_dose_age_adjusted,15,10,,source_missing_hide_from_rx,,True,3 to 4 times daily,paracetamol,40 mg/kg/day if age_months < 1; 60 mg/kg/day if age_months >= 1,,,formula source available but exact product concentration/formulation label is still missing,False,False,peds_9c12985cb4b9,"{""manual_review"": false, ""matched_text"": ""250 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 50.0}",,BDS002861,pending_exact_product_label_concentration,display exact calculated mL to 0.1 mL; cap total daily dose by age-specific max_mg_per_day,msf_paracetamol_oral_peds_2024,dose_ml = dose_mg / 50; concentration_mg_per_ml = 50,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,0,if age_months < 1: dose_mg = 10 * weight_kg; else: dose_mg = 15 * weight_kg,none stated by selected MSF source; reduce dose in severe acute malnutrition or dengue warning signs,,weight_based_mg_per_kg_per_dose_age_adjusted,15,10,,source_missing_hide_from_rx,,True,3 to 4 times daily,paracetamol,40 mg/kg/day if age_months < 1; 60 mg/kg/day if age_months >= 1,,,formula source available but exact product concentration/formulation label is still missing,False,False,peds_e7171ae41cdb,"{""manual_review"": false, ""matched_text"": ""120 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 24.0}",,BDS002847,pending_exact_product_label_concentration,display exact calculated mL to 0.1 mL; cap total daily dose by age-specific max_mg_per_day,msf_paracetamol_oral_peds_2024,dose_ml = dose_mg / 24; concentration_mg_per_ml = 24,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,0,if age_months < 1: dose_mg = 10 * weight_kg; else: dose_mg = 15 * weight_kg,none stated by selected MSF source; reduce dose in severe acute malnutrition or dengue warning signs,,weight_based_mg_per_kg_per_dose_age_adjusted,15,10,,source_missing_hide_from_rx,,True,3 to 4 times daily,paracetamol,40 mg/kg/day if age_months < 1; 60 mg/kg/day if age_months >= 1,,,formula source available but exact product concentration/formulation label is still missing,False,False,peds_2f281914b283,"{""manual_review"": false, ""matched_text"": ""250 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 50.0}",,BDS008137,pending_exact_product_label_concentration,display exact calculated mL to 0.1 mL; cap total daily dose by age-specific max_mg_per_day,msf_paracetamol_oral_peds_2024,dose_ml = dose_mg / 50; concentration_mg_per_ml = 50,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,0,if age_months < 1: dose_mg = 10 * weight_kg; else: dose_mg = 15 * weight_kg,none stated by selected MSF source; reduce dose in severe acute malnutrition or dengue warning signs,,weight_based_mg_per_kg_per_dose_age_adjusted,15,10,,source_missing_hide_from_rx,,True,3 to 4 times daily,paracetamol,40 mg/kg/day if age_months < 1; 60 mg/kg/day if age_months >= 1,,,formula source available but exact product concentration/formulation label is still missing,False,False,peds_21d415a32cba,"{""manual_review"": false, ""matched_text"": ""60 mg./0.6 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 100.0}",,BDS003597,pending_exact_product_label_concentration,display exact calculated mL to 0.1 mL; cap total daily dose by age-specific max_mg_per_day,msf_paracetamol_oral_peds_2024,dose_ml = dose_mg / 100; concentration_mg_per_ml = 100,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,0,if age_months < 1: dose_mg = 10 * weight_kg; else: dose_mg = 15 * weight_kg,none stated by selected MSF source; reduce dose in severe acute malnutrition or dengue warning signs,,weight_based_mg_per_kg_per_dose_age_adjusted,15,10,,source_missing_hide_from_rx,,True,3 to 4 times daily,paracetamol,40 mg/kg/day if age_months < 1; 60 mg/kg/day if age_months >= 1,,,formula source available but exact product concentration/formulation label is still missing,False,False,peds_a3055d9441bd,"{""manual_review"": false, ""matched_text"": ""80 mg./0.8 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 100.0}",,BDS003711,pending_exact_product_label_concentration,display exact calculated mL to 0.1 mL; cap total daily dose by age-specific max_mg_per_day,msf_paracetamol_oral_peds_2024,dose_ml = dose_mg / 100; concentration_mg_per_ml = 100,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,0,if age_months < 1: dose_mg = 10 * weight_kg; else: dose_mg = 15 * weight_kg,none stated by selected MSF source; reduce dose in severe acute malnutrition or dengue warning signs,,weight_based_mg_per_kg_per_dose_age_adjusted,15,10,,source_missing_hide_from_rx,,True,3 to 4 times daily,paracetamol,40 mg/kg/day if age_months < 1; 60 mg/kg/day if age_months >= 1,,,formula source available but exact product concentration/formulation label is still missing,False,False,peds_95529bf8cd8f,"{""manual_review"": false, ""matched_text"": ""80 mg./0.8 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 100.0}",,BDS003737,pending_exact_product_label_concentration,display exact calculated mL to 0.1 mL; cap total daily dose by age-specific max_mg_per_day,msf_paracetamol_oral_peds_2024,dose_ml = dose_mg / 100; concentration_mg_per_ml = 100,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,0,if age_months < 1: dose_mg = 10 * weight_kg; else: dose_mg = 15 * weight_kg,"none stated by selected MSF source; reduce dose in severe acute malnutrition or dengue warning signs; product label age gate: Active ingredient (in each 5 mL) Acetaminophen 160 mg. Directions: under 2 years ask a doctor; repeat dose every 4 hours while symptoms last; do not give more than 5 doses in 24 hours. Workbook row is paracetamol 160 mg/5 mL oral suspension; DailyMed label supports the matching generic concentration/formulation only, not Thai brand registration.",,weight_based_mg_per_kg_per_dose_age_adjusted,15,10,,gold_ready_pediatric,,True,3 to 4 times daily,paracetamol,40 mg/kg/day if age_months < 1; 60 mg/kg/day if age_months >= 1,,"Active ingredient (in each 5 mL) Acetaminophen 160 mg. Directions: under 2 years ask a doctor; repeat dose every 4 hours while symptoms last; do not give more than 5 doses in 24 hours. Workbook row is paracetamol 160 mg/5 mL oral suspension; DailyMed label supports the matching generic concentration/formulation only, not Thai brand registration.",,True,True,peds_26d59d594416,"{""manual_review"": false, ""matched_text"": ""160 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 32.0}",dailymed_acetaminophen_160mg_5ml_peds_2026,BDS003763,generic_strength_form_route_match_not_thai_brand_registered,display exact calculated mL to 0.1 mL; cap total daily dose by age-specific max_mg_per_day,dailymed_acetaminophen_160mg_5ml_peds_2026; msf_paracetamol_oral_peds_2024,dose_ml = dose_mg / 32; concentration_mg_per_ml = 32,,,pediatric_formula_ready,,ready for pediatric formula review
,,,,,,,,,source_missing_hide_from_rx,,False,,desloratadine,,,,missing pediatric dose formula source and/or parsed concentration,False,False,peds_40fb0c454e8d,"{""manual_review"": false, ""matched_text"": ""0.5 mg./1 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 0.5}",,BDS001015,pending_exact_product_label_concentration,,,,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,,,,,,,,,source_missing_hide_from_rx,,False,,brompheniramine maleate + phenylephrine hcl,,,,missing pediatric dose formula source and/or parsed concentration,False,False,peds_240d5843e700,"{""manual_review"": false, ""matched_text"": ""2.5 mg./1 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 2.5}",,BDS007003,pending_exact_product_label_concentration,,,,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,,,,,,,,,source_missing_hide_from_rx,,False,,brompheniramine maleate + phenylephrine hcl,,,,missing pediatric dose formula source and/or parsed concentration,False,False,peds_9b9041154392,"{""manual_review"": false, ""matched_text"": ""10 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 2.0}",,BDS008047,pending_exact_product_label_concentration,,,,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,,,,,,,,,source_missing_hide_from_rx,,False,,chlorpheniramine maleate,,,,missing pediatric dose formula source and/or parsed concentration,False,False,peds_c4338ce0922e,"{""manual_review"": false, ""matched_text"": ""2 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 0.4}",,BDS008033,pending_exact_product_label_concentration,,,,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,,,,,,,,,source_missing_hide_from_rx,,False,,cetirizine 2hcl,,,,missing pediatric dose formula source and/or parsed concentration,False,False,peds_d7c608a199b5,"{""manual_review"": false, ""matched_text"": ""5 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 1.0}",,BDS007038,pending_exact_product_label_concentration,,,,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,,,,,,,,,source_missing_hide_from_rx,,False,,desloratadine,,,,missing pediatric dose formula source and/or parsed concentration,False,False,peds_54c3ef3c91b5,"{""manual_review"": false, ""matched_text"": ""0.5 mg./1 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 0.5}",,BDS044519,pending_exact_product_label_concentration,,,,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
,,,,,,,,,source_missing_hide_from_rx,,False,,chlorpheniramine maleate,,,,missing pediatric dose formula source and/or parsed concentration,False,False,peds_8584158d9257,"{""manual_review"": false, ""matched_text"": ""2 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 0.4}",,BDS007271,pending_exact_product_label_concentration,,,,,,blocked_pending_complete_pediatric_source,age/BW rule; dose formula; max dose; concentration; rounding; pediatric citation,retrieve pediatric formulary/guideline and product concentration source
