disease_key,claim_type,source_id,source_title,source_url,proof_status,evidence_snippet,next_action
common_cold_adult,disease_strategy,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
common_cold_adult,line_of_treatment,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
common_cold_adult,no_antibiotic_criteria,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
uri_dry_cough_adult,disease_strategy,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
uri_dry_cough_adult,line_of_treatment,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
uri_dry_cough_adult,no_antibiotic_criteria,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
uri_sneezing_runny_nose_adult,disease_strategy,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
uri_sneezing_runny_nose_adult,line_of_treatment,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
uri_sneezing_runny_nose_adult,no_antibiotic_criteria,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
post_viral_cough_adult,disease_strategy,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
post_viral_cough_adult,line_of_treatment,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
post_viral_cough_adult,no_antibiotic_criteria,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
acute_bronchitis_adult,disease_strategy,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,source_backed_no_antibiotic_supportive_care,"Routine treatment of uncomplicated acute bronchitis with antibiotics is not recommended, regardless of cough duration.",rule out pneumonia/red flags; antibiotics remain hidden unless bacterial diagnosis criteria are met
acute_bronchitis_adult,line_of_treatment,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,source_backed_no_antibiotic_supportive_care,"Routine treatment of uncomplicated acute bronchitis with antibiotics is not recommended, regardless of cough duration.",rule out pneumonia/red flags; antibiotics remain hidden unless bacterial diagnosis criteria are met
acute_bronchitis_adult,no_antibiotic_criteria,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,source_backed_no_antibiotic_supportive_care,"Routine treatment of uncomplicated acute bronchitis with antibiotics is not recommended, regardless of cough duration.",rule out pneumonia/red flags; antibiotics remain hidden unless bacterial diagnosis criteria are met
uri_wet_cough_adult,disease_strategy,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,source_backed_no_antibiotic_supportive_care,"Routine treatment of uncomplicated acute bronchitis with antibiotics is not recommended, regardless of cough duration.",rule out pneumonia/red flags; antibiotics remain hidden unless bacterial diagnosis criteria are met
uri_wet_cough_adult,line_of_treatment,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,source_backed_no_antibiotic_supportive_care,"Routine treatment of uncomplicated acute bronchitis with antibiotics is not recommended, regardless of cough duration.",rule out pneumonia/red flags; antibiotics remain hidden unless bacterial diagnosis criteria are met
uri_wet_cough_adult,no_antibiotic_criteria,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,source_backed_no_antibiotic_supportive_care,"Routine treatment of uncomplicated acute bronchitis with antibiotics is not recommended, regardless of cough duration.",rule out pneumonia/red flags; antibiotics remain hidden unless bacterial diagnosis criteria are met
postnasal_drip_cough_adult,disease_strategy,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,source_backed_no_antibiotic_supportive_care,"Routine treatment of uncomplicated acute bronchitis with antibiotics is not recommended, regardless of cough duration.",rule out pneumonia/red flags; antibiotics remain hidden unless bacterial diagnosis criteria are met
postnasal_drip_cough_adult,line_of_treatment,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,source_backed_no_antibiotic_supportive_care,"Routine treatment of uncomplicated acute bronchitis with antibiotics is not recommended, regardless of cough duration.",rule out pneumonia/red flags; antibiotics remain hidden unless bacterial diagnosis criteria are met
postnasal_drip_cough_adult,no_antibiotic_criteria,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,source_backed_no_antibiotic_supportive_care,"Routine treatment of uncomplicated acute bronchitis with antibiotics is not recommended, regardless of cough duration.",rule out pneumonia/red flags; antibiotics remain hidden unless bacterial diagnosis criteria are met
laryngitis_irritation_adult,disease_strategy,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,source_backed_no_antibiotic_supportive_care,"Routine treatment of uncomplicated acute bronchitis with antibiotics is not recommended, regardless of cough duration.",rule out pneumonia/red flags; antibiotics remain hidden unless bacterial diagnosis criteria are met
laryngitis_irritation_adult,line_of_treatment,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,source_backed_no_antibiotic_supportive_care,"Routine treatment of uncomplicated acute bronchitis with antibiotics is not recommended, regardless of cough duration.",rule out pneumonia/red flags; antibiotics remain hidden unless bacterial diagnosis criteria are met
laryngitis_irritation_adult,no_antibiotic_criteria,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,source_backed_no_antibiotic_supportive_care,"Routine treatment of uncomplicated acute bronchitis with antibiotics is not recommended, regardless of cough duration.",rule out pneumonia/red flags; antibiotics remain hidden unless bacterial diagnosis criteria are met
acute_pharyngitis_viral_adult,disease_strategy,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,source_backed_no_antibiotic_without_gas_testing,GAS infection is the only common indication for antibiotic therapy for sore throat; antibiotics are not recommended for negative RADT results.,keep antibiotics hidden unless GAS criteria/testing and antibiotic dose/duration are source-backed
acute_pharyngitis_viral_adult,line_of_treatment,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,source_backed_no_antibiotic_without_gas_testing,GAS infection is the only common indication for antibiotic therapy for sore throat; antibiotics are not recommended for negative RADT results.,keep antibiotics hidden unless GAS criteria/testing and antibiotic dose/duration are source-backed
acute_pharyngitis_viral_adult,no_antibiotic_criteria,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,source_backed_no_antibiotic_without_gas_testing,GAS infection is the only common indication for antibiotic therapy for sore throat; antibiotics are not recommended for negative RADT results.,keep antibiotics hidden unless GAS criteria/testing and antibiotic dose/duration are source-backed
bacterial_pharyngitis_adult,antibiotic_use_criteria,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,criteria_source_partial_dose_still_needed,Amoxicillin and penicillin remain first-line therapy due to reliable activity against GAS; recommended oral beta-lactam course is 10 days.,requires product-specific dose/frequency and allergy alternative evidence before antibiotic gate can unlock
bacterial_pharyngitis_adult,line_of_treatment,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,criteria_source_partial_dose_still_needed,Amoxicillin and penicillin remain first-line therapy due to reliable activity against GAS; recommended oral beta-lactam course is 10 days.,requires product-specific dose/frequency and allergy alternative evidence before antibiotic gate can unlock
bacterial_pharyngitis_adult,duration,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,criteria_source_partial_dose_still_needed,Amoxicillin and penicillin remain first-line therapy due to reliable activity against GAS; recommended oral beta-lactam course is 10 days.,requires product-specific dose/frequency and allergy alternative evidence before antibiotic gate can unlock
bacterial_pharyngitis_alt_adult,antibiotic_use_criteria,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,criteria_source_partial_dose_still_needed,Amoxicillin and penicillin remain first-line therapy due to reliable activity against GAS; recommended oral beta-lactam course is 10 days.,requires product-specific dose/frequency and allergy alternative evidence before antibiotic gate can unlock
bacterial_pharyngitis_alt_adult,line_of_treatment,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,criteria_source_partial_dose_still_needed,Amoxicillin and penicillin remain first-line therapy due to reliable activity against GAS; recommended oral beta-lactam course is 10 days.,requires product-specific dose/frequency and allergy alternative evidence before antibiotic gate can unlock
bacterial_pharyngitis_alt_adult,duration,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,criteria_source_partial_dose_still_needed,Amoxicillin and penicillin remain first-line therapy due to reliable activity against GAS; recommended oral beta-lactam course is 10 days.,requires product-specific dose/frequency and allergy alternative evidence before antibiotic gate can unlock
bacterial_sinusitis_adult,antibiotic_use_criteria,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,criteria_source_partial_dose_still_needed,"Diagnose acute bacterial rhinosinusitis based on severe, persistent, or worsening symptoms; amoxicillin or amoxicillin/clavulanate are first-line.",requires exact dose/frequency/duration and patient exclusion criteria before antibiotic gate can unlock
bacterial_sinusitis_adult,line_of_treatment,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,criteria_source_partial_dose_still_needed,"Diagnose acute bacterial rhinosinusitis based on severe, persistent, or worsening symptoms; amoxicillin or amoxicillin/clavulanate are first-line.",requires exact dose/frequency/duration and patient exclusion criteria before antibiotic gate can unlock
bacterial_sinusitis_alt_adult,antibiotic_use_criteria,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,criteria_source_partial_dose_still_needed,"Diagnose acute bacterial rhinosinusitis based on severe, persistent, or worsening symptoms; amoxicillin or amoxicillin/clavulanate are first-line.",requires exact dose/frequency/duration and patient exclusion criteria before antibiotic gate can unlock
bacterial_sinusitis_alt_adult,line_of_treatment,cdc_adult_outpatient_antibiotic_2024,Outpatient Clinical Care for Adults,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,criteria_source_partial_dose_still_needed,"Diagnose acute bacterial rhinosinusitis based on severe, persistent, or worsening symptoms; amoxicillin or amoxicillin/clavulanate are first-line.",requires exact dose/frequency/duration and patient exclusion criteria before antibiotic gate can unlock
viral_conjunctivitis_adult,disease_strategy,cdc_conjunctivitis_treatment_2024,How to Treat Pink Eye,https://www.cdc.gov/conjunctivitis/treatment/index.html,source_backed_no_antibiotic_supportive_care,Antibiotics will NOT improve viral pink eye; these drugs are not effective against viruses.,keep antibiotic eye drops hidden unless bacterial pattern criteria are met
viral_conjunctivitis_adult,no_antibiotic_criteria,cdc_conjunctivitis_treatment_2024,How to Treat Pink Eye,https://www.cdc.gov/conjunctivitis/treatment/index.html,source_backed_no_antibiotic_supportive_care,Antibiotics will NOT improve viral pink eye; these drugs are not effective against viruses.,keep antibiotic eye drops hidden unless bacterial pattern criteria are met
allergic_conjunctivitis_adult,disease_strategy,cdc_conjunctivitis_treatment_2024,How to Treat Pink Eye,https://www.cdc.gov/conjunctivitis/treatment/index.html,source_backed_no_antibiotic_supportive_care,Antibiotics will NOT improve viral pink eye; these drugs are not effective against viruses.,keep antibiotic eye drops hidden unless bacterial pattern criteria are met
allergic_conjunctivitis_adult,no_antibiotic_criteria,cdc_conjunctivitis_treatment_2024,How to Treat Pink Eye,https://www.cdc.gov/conjunctivitis/treatment/index.html,source_backed_no_antibiotic_supportive_care,Antibiotics will NOT improve viral pink eye; these drugs are not effective against viruses.,keep antibiotic eye drops hidden unless bacterial pattern criteria are met
bacterial_conjunctivitis_adult,antibiotic_use_criteria,cdc_conjunctivitis_treatment_2024,How to Treat Pink Eye,https://www.cdc.gov/conjunctivitis/treatment/index.html,criteria_source_partial_product_dose_still_needed,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.","requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock"
bacterial_conjunctivitis_adult,line_of_treatment,cdc_conjunctivitis_treatment_2024,How to Treat Pink Eye,https://www.cdc.gov/conjunctivitis/treatment/index.html,criteria_source_partial_product_dose_still_needed,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.","requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock"
topical_eye_antibiotic_support_adult,antibiotic_use_criteria,cdc_conjunctivitis_treatment_2024,How to Treat Pink Eye,https://www.cdc.gov/conjunctivitis/treatment/index.html,criteria_source_partial_product_dose_still_needed,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.","requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock"
topical_eye_antibiotic_support_adult,line_of_treatment,cdc_conjunctivitis_treatment_2024,How to Treat Pink Eye,https://www.cdc.gov/conjunctivitis/treatment/index.html,criteria_source_partial_product_dose_still_needed,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.","requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock"
red_eye_pain_photophobia_adult,red_flags,cdc_conjunctivitis_treatment_2024,How to Treat Pink Eye,https://www.cdc.gov/conjunctivitis/treatment/index.html,source_backed_red_flag_referral,"Seek care with eye pain, light sensitivity, blurred vision, intense redness, worsening symptoms, or immunocompromise.",red-flag findings block routine prescribing and require evaluation/referral
red_eye_pain_photophobia_adult,referral_criteria,cdc_conjunctivitis_treatment_2024,How to Treat Pink Eye,https://www.cdc.gov/conjunctivitis/treatment/index.html,source_backed_red_flag_referral,"Seek care with eye pain, light sensitivity, blurred vision, intense redness, worsening symptoms, or immunocompromise.",red-flag findings block routine prescribing and require evaluation/referral
red_eye_vision_change_adult,red_flags,cdc_conjunctivitis_treatment_2024,How to Treat Pink Eye,https://www.cdc.gov/conjunctivitis/treatment/index.html,source_backed_red_flag_referral,"Seek care with eye pain, light sensitivity, blurred vision, intense redness, worsening symptoms, or immunocompromise.",red-flag findings block routine prescribing and require evaluation/referral
red_eye_vision_change_adult,referral_criteria,cdc_conjunctivitis_treatment_2024,How to Treat Pink Eye,https://www.cdc.gov/conjunctivitis/treatment/index.html,source_backed_red_flag_referral,"Seek care with eye pain, light sensitivity, blurred vision, intense redness, worsening symptoms, or immunocompromise.",red-flag findings block routine prescribing and require evaluation/referral
bacterial_conjunctivitis_adult,red_flags,cdc_conjunctivitis_treatment_2024,How to Treat Pink Eye,https://www.cdc.gov/conjunctivitis/treatment/index.html,source_backed_red_flag_referral,"Seek care with eye pain, light sensitivity, blurred vision, intense redness, worsening symptoms, or immunocompromise.",red-flag findings block routine prescribing and require evaluation/referral
bacterial_conjunctivitis_adult,referral_criteria,cdc_conjunctivitis_treatment_2024,How to Treat Pink Eye,https://www.cdc.gov/conjunctivitis/treatment/index.html,source_backed_red_flag_referral,"Seek care with eye pain, light sensitivity, blurred vision, intense redness, worsening symptoms, or immunocompromise.",red-flag findings block routine prescribing and require evaluation/referral
bacterial_conjunctivitis_adult,antibiotic_use_criteria,cdc_conjunctivitis_hcp_2024,Clinical Overview of Pink Eye (Conjunctivitis),https://www.cdc.gov/conjunctivitis/hcp/clinical-overview/index.html,criteria_source_partial_product_dose_still_needed,"Bacterial conjunctivitis symptoms include purulent discharge causing matted eyelids, chemosis, decreased vision, eyelid swelling, and pain.","criteria can triage bacterial pattern, but product dose/duration source is still required"
bacterial_conjunctivitis_adult,red_flags,cdc_conjunctivitis_hcp_2024,Clinical Overview of Pink Eye (Conjunctivitis),https://www.cdc.gov/conjunctivitis/hcp/clinical-overview/index.html,criteria_source_partial_product_dose_still_needed,"Bacterial conjunctivitis symptoms include purulent discharge causing matted eyelids, chemosis, decreased vision, eyelid swelling, and pain.","criteria can triage bacterial pattern, but product dose/duration source is still required"
bacterial_conjunctivitis_peds,antibiotic_use_criteria,cdc_conjunctivitis_hcp_2024,Clinical Overview of Pink Eye (Conjunctivitis),https://www.cdc.gov/conjunctivitis/hcp/clinical-overview/index.html,criteria_source_partial_product_dose_still_needed,"Bacterial conjunctivitis symptoms include purulent discharge causing matted eyelids, chemosis, decreased vision, eyelid swelling, and pain.","criteria can triage bacterial pattern, but product dose/duration source is still required"
bacterial_conjunctivitis_peds,red_flags,cdc_conjunctivitis_hcp_2024,Clinical Overview of Pink Eye (Conjunctivitis),https://www.cdc.gov/conjunctivitis/hcp/clinical-overview/index.html,criteria_source_partial_product_dose_still_needed,"Bacterial conjunctivitis symptoms include purulent discharge causing matted eyelids, chemosis, decreased vision, eyelid swelling, and pain.","criteria can triage bacterial pattern, but product dose/duration source is still required"
allergic_rhinitis_adult,disease_strategy,aao_hns_allergic_rhinitis_2015,Clinical Practice Guideline: Allergic Rhinitis,https://www.entnet.org/quality-practice/quality-products/clinical-practice-guidelines/allergic-rhinitis/,source_backed_allergic_rhinitis_line_of_treatment,Clinicians should recommend intranasal steroids for allergic rhinitis symptoms that affect quality of life.,product-specific intranasal steroid or antihistamine dose/safety evidence is still required before new rows unlock
allergic_rhinitis_adult,line_of_treatment,aao_hns_allergic_rhinitis_2015,Clinical Practice Guideline: Allergic Rhinitis,https://www.entnet.org/quality-practice/quality-products/clinical-practice-guidelines/allergic-rhinitis/,source_backed_allergic_rhinitis_line_of_treatment,Clinicians should recommend intranasal steroids for allergic rhinitis symptoms that affect quality of life.,product-specific intranasal steroid or antihistamine dose/safety evidence is still required before new rows unlock
allergic_rhinitis_adult,drug_class_indication,aao_hns_allergic_rhinitis_2015,Clinical Practice Guideline: Allergic Rhinitis,https://www.entnet.org/quality-practice/quality-products/clinical-practice-guidelines/allergic-rhinitis/,source_backed_allergic_rhinitis_line_of_treatment,Clinicians should recommend intranasal steroids for allergic rhinitis symptoms that affect quality of life.,product-specific intranasal steroid or antihistamine dose/safety evidence is still required before new rows unlock
allergic_rhinitis_congestion_adult,disease_strategy,aao_hns_allergic_rhinitis_2015,Clinical Practice Guideline: Allergic Rhinitis,https://www.entnet.org/quality-practice/quality-products/clinical-practice-guidelines/allergic-rhinitis/,source_backed_allergic_rhinitis_line_of_treatment,Clinicians should recommend intranasal steroids for allergic rhinitis symptoms that affect quality of life.,product-specific intranasal steroid or antihistamine dose/safety evidence is still required before new rows unlock
allergic_rhinitis_congestion_adult,line_of_treatment,aao_hns_allergic_rhinitis_2015,Clinical Practice Guideline: Allergic Rhinitis,https://www.entnet.org/quality-practice/quality-products/clinical-practice-guidelines/allergic-rhinitis/,source_backed_allergic_rhinitis_line_of_treatment,Clinicians should recommend intranasal steroids for allergic rhinitis symptoms that affect quality of life.,product-specific intranasal steroid or antihistamine dose/safety evidence is still required before new rows unlock
